source	comparison_type	cohort	metric	n_comparisons	mean	median	q25	q75	min	max
study_mean_labels	study_mean_label_pair	no_gejman_min2samples	pearson	21	0.47445161762286564	0.57559113124095	0.11302908254028737	0.6987379216391635	-0.024353144830906278	0.7976933224813026
study_mean_labels	study_mean_label_pair	no_gejman_min2samples	spearman	21	0.484425125172648	0.554838224638509	0.11956157935493454	0.7434356269062371	-0.04636712554710035	0.8328612764960135
study_mean_labels	study_mean_label_pair	no_gejman_min2samples	rmse	21	0.9574584608681642	0.8963480890018659	0.762371645964087	1.1485257197265086	0.6160134509168972	1.3894663017171767
study_mean_labels	study_mean_label_pair	no_gejman_min2samples	mae	21	0.7166163338636176	0.696347277663329	0.5533699228402311	0.9108305924331517	0.45711686413352076	1.0207099489330893
study_mean_labels	study_mean_label_pair	no_gejman_min2samples	median_abs_error	21	0.562475581883571	0.5696232575704204	0.44381618420121566	0.7199354260061992	0.3027877057102201	0.7876199463975453
study_mean_labels	study_mean_label_pair	no_gejman_min2samples	p90_abs_error	21	1.514015057675477	1.4415495090286927	1.1477393198464685	1.897829972777274	0.9942692874675051	2.22099024130958
study_residuals	study_label_vs_human_no_gejman_pc1	no_gejman_min2samples	pearson	7	0.7148989464132924	0.830260837805512	0.7149031564864008	0.870941240236395	0.08789425818403501	0.9144487354579085
study_residuals	study_label_vs_human_no_gejman_pc1	no_gejman_min2samples	spearman	7	0.717497015784104	0.8281183964877323	0.7286623714899598	0.8846828334682536	0.04992978749044466	0.9177405165941241
study_residuals	study_label_vs_human_no_gejman_pc1	no_gejman_min2samples	rmse	7	0.692450418157458	0.5892150019311454	0.5025298607641411	0.74821166976565	0.4083765012806859	1.348078362830793
study_residuals	study_label_vs_human_no_gejman_pc1	no_gejman_min2samples	mae	7	0.517191853814408	0.4471757654926855	0.38207754320735776	0.5498463996853042	0.30257427355206284	1.0067450518707841
study_residuals	study_label_vs_human_no_gejman_pc1	no_gejman_min2samples	median_abs_error	7	0.40523696056211816	0.30977371363275147	0.3031914451008984	0.45185211807525355	0.2307616925346465	0.7860361914151254
study_residuals	study_label_vs_human_no_gejman_pc1	no_gejman_min2samples	p90_abs_error	7	1.0937289264626073	0.9499318836407762	0.8089144467240679	1.13991348304761	0.6499493635432729	2.1585653785108456
study_residuals	study_residual_pair	no_gejman_min2samples	pearson	21	0.02370912684294509	0.033737178389385995	-0.07494016195032437	0.13844156376562136	-0.34142558502297493	0.3035574247895039
study_residuals	study_residual_pair	no_gejman_min2samples	spearman	21	0.04491351619819137	0.08531095256674985	-0.06723883345757053	0.15340292580706708	-0.36829882164783173	0.3396046339437469
study_residuals	study_residual_pair	no_gejman_min2samples	rmse	21	0.9574584608681642	0.8963480890018659	0.762371645964087	1.1485257197265086	0.6160134509168972	1.3894663017171767
study_residuals	study_residual_pair	no_gejman_min2samples	mae	21	0.7166163338636176	0.696347277663329	0.5533699228402311	0.9108305924331517	0.45711686413352076	1.0207099489330893
study_residuals	study_residual_pair	no_gejman_min2samples	median_abs_error	21	0.562475581883571	0.5696232575704204	0.4438161842012157	0.7199354260061992	0.30278770571022007	0.7876199463975453
study_residuals	study_residual_pair	no_gejman_min2samples	p90_abs_error	21	1.514015057675477	1.4415495090286927	1.1477393198464685	1.897829972777274	0.9942692874675051	2.22099024130958
study_mean_labels	study_mean_label_pair	no_gejman_full_preprocess	pearson	153	0.4646523684728765	0.5937370766019957	0.23540309952529598	0.6880769065999658	-0.27180520128888025	0.8467631093602758
study_mean_labels	study_mean_label_pair	no_gejman_full_preprocess	spearman	153	0.48451473275314544	0.6239134982952999	0.22711569053561892	0.7052170514640076	-0.18653706041289733	0.8795102800116529
study_mean_labels	study_mean_label_pair	no_gejman_full_preprocess	rmse	153	0.9986637477574303	0.9014021559747951	0.7898393423982286	1.2366057580932606	0.553600741762011	1.5948700268604223
study_mean_labels	study_mean_label_pair	no_gejman_full_preprocess	mae	153	0.7547346251166153	0.6779233033854294	0.592785306166786	0.9483460820002805	0.37287733356980923	1.1973833056197951
study_mean_labels	study_mean_label_pair	no_gejman_full_preprocess	median_abs_error	153	0.5914268055889286	0.5327031701349113	0.4485918268754785	0.7546525088707511	0.21133252016754614	0.98146373574073
study_mean_labels	study_mean_label_pair	no_gejman_full_preprocess	p90_abs_error	153	1.608659168663092	1.4481429135778439	1.261518097635347	2.01313563066146	0.8444306496406974	2.638117123832368
study_residuals	study_label_vs_human_no_gejman_pc1	no_gejman_full_preprocess	pearson	18	0.6953557963431821	0.7965639942827327	0.7461566100399666	0.8292600474602329	0.025696042579439374	0.9069696033665599
study_residuals	study_label_vs_human_no_gejman_pc1	no_gejman_full_preprocess	spearman	18	0.7056189640445142	0.8089348976749848	0.7606841343710145	0.8461669167679899	0.03578933676658529	0.9191517239526249
study_residuals	study_label_vs_human_no_gejman_pc1	no_gejman_full_preprocess	rmse	18	0.7299961897313496	0.6370910336102907	0.5838123082441292	0.7110150379438336	0.43160273836592083	1.3925506707031925
study_residuals	study_label_vs_human_no_gejman_pc1	no_gejman_full_preprocess	mae	18	0.5498304230496844	0.4817285584299885	0.4157053290699578	0.5318440749590503	0.31711883267310625	1.0944886499150588
study_residuals	study_label_vs_human_no_gejman_pc1	no_gejman_full_preprocess	median_abs_error	18	0.43026770817840915	0.3685686455972337	0.3125119554405993	0.411286577948154	0.2417316291612971	0.9165071345719367
study_residuals	study_label_vs_human_no_gejman_pc1	no_gejman_full_preprocess	p90_abs_error	18	1.1686394482371358	1.0303002924930214	0.9034015802452731	1.146096929091842	0.6670278277541127	2.234579332521397
study_residuals	study_residual_pair	no_gejman_full_preprocess	pearson	153	0.0986874030859612	0.1025555993365293	-0.0543504546153682	0.26413070414509	-0.6110243553771977	0.5927053695079879
study_residuals	study_residual_pair	no_gejman_full_preprocess	spearman	153	0.11316836310727707	0.1222705047102307	-0.05146410371144885	0.2953377015112235	-0.5318014762341668	0.5833517933506075
study_residuals	study_residual_pair	no_gejman_full_preprocess	rmse	153	0.9986637477574303	0.9014021559747951	0.7898393423982285	1.2366057580932606	0.553600741762011	1.5948700268604223
study_residuals	study_residual_pair	no_gejman_full_preprocess	mae	153	0.7547346251166153	0.6779233033854295	0.592785306166786	0.9483460820002803	0.37287733356980923	1.1973833056197951
study_residuals	study_residual_pair	no_gejman_full_preprocess	median_abs_error	153	0.5914268055889285	0.5327031701349113	0.4485918268754785	0.754652508870751	0.21133252016754614	0.98146373574073
study_residuals	study_residual_pair	no_gejman_full_preprocess	p90_abs_error	153	1.608659168663092	1.4481429135778436	1.261518097635347	2.01313563066146	0.8444306496406974	2.638117123832368
