comparison_type	cohort	left	right	n	pearson	spearman	mse	rmse	mae	median_abs_error	p90_abs_error	p95_abs_error	mean_signed_diff	sd_signed_diff
study_mean_label_pair	all	Bazzini	Jaffrey	3601	0.09989491423243627	0.03439267377683889	2.227975676022096	1.4926405046165991	1.1368588064603828	0.9188879238096852	2.3418968968654683	2.9518788874974264	-0.136069604943884	1.4864254904409129
study_mean_label_pair	all	Bazzini	Marks	6419	-0.10725590043119375	-0.0642276356591369	1.665526614706413	1.2905528329775628	0.905394980621157	0.6779215356884479	1.843988924419898	2.587229609471171	0.019667956071524387	1.2904029549758393
study_mean_label_pair	all	Bazzini	Mortazavi	7495	0.028198571658246522	0.02766269038744808	1.5767408006307497	1.2556833998388088	0.9313777190906646	0.6934174106907243	2.0843482139988017	2.57985069143553	0.05475292244374751	1.2544891064152812
study_mean_label_pair	all	Bazzini	Oberdoerffer	9036	0.021721640725678306	0.0052662039196189735	1.8386557901981557	1.3559704237918155	0.9873818293746056	0.743066414836335	2.1407510346328973	2.792776879473037	0.011015791317232512	1.355925677365767
study_mean_label_pair	all	Bazzini	Rinn	9381	0.10270199056273402	0.09867406697556177	1.7150655601492208	1.309605116112953	0.9641591173203887	0.7441397863550431	2.0692834196224297	2.630266810098279	0.011219024993697252	1.3095570600884117
study_mean_label_pair	all	Bazzini	Rissland	9639	0.11302908254028737	0.11956157935493454	1.71677630462996	1.3102581061111434	0.9555925959297477	0.7199354260061992	2.0419654862848313	2.6352614392814404	0.006328319892700693	1.310242823677083
study_mean_label_pair	all	Bazzini	Rissland2	10284	0.022332525462235128	-0.01714066429821076	1.930616603607608	1.3894663017171767	1.0207099489330893	0.7786344137705885	2.22099024130958	2.8045012410168315	0.0018100440452199647	1.389465122753417
study_mean_label_pair	all	Bazzini	Shendure	9648	0.007771100730109046	-0.009564290883630245	1.6934485083120205	1.3013256734238439	1.004573155696552	0.8080734017882722	2.104604459634986	2.5858717443770343	0.010764378161796798	1.3012811519709384
study_mean_label_pair	all	Bazzini	Simon	4710	0.054249453703153976	0.06072905642911169	1.3191113288732945	1.1485257197265086	0.9108305924331517	0.7570747754663731	1.897829972777274	2.2827092285766497	0.034443853486030795	1.1480091244542983
study_mean_label_pair	all	Bazzini	Zimmer	5704	-0.0288946169679508	-0.027491426506513917	1.5177768264115084	1.2319808547260418	0.9314687359553151	0.7383396604373942	1.971034276779339	2.5018667897043554	0.04974915858096563	1.2309759736209294
study_mean_label_pair	all	Cramer	Cramer2	4059	0.2286379548968443	0.2632917571685926	1.4476000738661092	1.2031625301122493	0.9092351664572514	0.7096841201296817	1.9282421879118836	2.38314094041146	0.026440551109930276	1.2028719678848265
study_mean_label_pair	all	Cramer	Darnell	2409	0.4679692205276438	0.4898476026842823	0.9370576306942572	0.9680173710705078	0.7041775019320585	0.5252378732249843	1.518438713525992	1.9320694904376365	0.15146856658104024	0.956093564475852
study_mean_label_pair	all	Cramer	Dieterich	5041	0.5937788595726992	0.5995217283480127	0.775649035913546	0.8807093935649523	0.6826158661979663	0.559046781798943	1.4112452135049642	1.7410816395112774	-0.050932753928689	0.8792354010677604
study_mean_label_pair	all	Cramer	Gejman	5587	0.39470780214969964	0.4233977839056135	1.2558563300233596	1.1206499587397305	0.8746631307050349	0.7110446383928941	1.826383312228253	2.235705573837462	0.0425676324316219	1.1198412060165168
study_mean_label_pair	all	Cramer	He	6592	0.47491731310863816	0.5212572698454251	1.0287532154279617	1.0142747238435756	0.756603127245322	0.5819085403178867	1.6090869760292703	2.0246622387143085	-0.0490686880651631	1.013087103500743
study_mean_label_pair	all	Cramer	Jaffrey	2237	0.24668364770311357	0.25500376259305196	1.7672212279237711	1.3293687328667585	1.0737311924815816	0.9297879862693063	2.1603355684913996	2.489277907270872	-0.7535866738324084	1.0951385085668301
study_mean_label_pair	all	Cramer	Marks	5138	0.4806015715083061	0.48132201468287095	0.9186565379584288	0.9584657208050942	0.7296368793072234	0.5716872972655722	1.5441709060036668	1.9069995611573325	0.03476291190559667	0.9578350995418111
study_mean_label_pair	all	Cramer	Mortazavi	6186	0.5529100824334581	0.5698556472442882	0.8487977298618481	0.9213021924764144	0.7095037575301626	0.563269361987193	1.5212468077894485	1.8322654925043464	-0.021734666873980374	0.921045782856491
study_mean_label_pair	all	Cramer	Oberdoerffer	6522	0.5024459094333246	0.5695863295187032	1.0313625390967889	1.015560209488728	0.7468772624374685	0.5536403806644047	1.6366132264511064	2.1212160130069377	-0.08998307910971685	1.0115659071809027
study_mean_label_pair	all	Cramer	Rinn	6878	0.5857174536819219	0.5977416230689299	0.825721197712047	0.9086920257777368	0.6976891310092211	0.5619380126402713	1.4634412670274657	1.8420808867047127	-0.10033513899154028	0.9031356806126054
study_mean_label_pair	all	Cramer	Rissland	6794	0.4210475217643306	0.43642848283609814	1.162667441911432	1.0782705791736285	0.8232956652750278	0.6518156907484978	1.7150968137114158	2.1563988796523943	-0.10789088981948573	1.0728592628138083
study_mean_label_pair	all	Cramer	Rissland2	7195	0.5553201736653387	0.582110042724529	0.8551429794545857	0.9247394116477278	0.698936518589559	0.5470669962470538	1.4638805528525065	1.8612610098557036	-0.024733797504196943	0.9244085778029147
study_mean_label_pair	all	Cramer	Shendure	7059	0.5601382120396938	0.5749031185798802	0.8589228416729817	0.9267809027342879	0.7198479450932981	0.5907735784247199	1.4910465187835984	1.811193386467995	-0.02598833994120282	0.9264164548733381
study_mean_label_pair	all	Cramer	Simon	4376	0.6549727224572395	0.6614134844449424	0.6298748278915145	0.7936465383856434	0.6379286559420295	0.5496510130766594	1.2912279986712156	1.5319381491178132	-0.12822278116303276	0.7832201135583357
study_mean_label_pair	all	Cramer	Zimmer	4886	0.5620131816527629	0.5603213235967782	0.8015532030807652	0.8952950368905019	0.6962005928580989	0.5610163475816785	1.453774189816775	1.8052238608675772	0.03290464144163871	0.8946901629348343
study_mean_label_pair	all	Cramer2	Darnell	1588	0.17041302465759198	0.22373816511813246	1.496122689668132	1.2231609418503078	0.9153366230795251	0.7407380097143347	1.8250972345748186	2.377529955799781	-0.027248942104222244	1.222857385316183
study_mean_label_pair	all	Cramer2	Dieterich	3266	0.09061501175689105	0.10390267875407788	1.709367435443653	1.307427793586955	1.0257093963220534	0.8568949758659115	2.0651283563026004	2.5414118167184903	-0.08721265684193483	1.3045157676050627
study_mean_label_pair	all	Cramer2	Gejman	3607	0.10370270093689579	0.10742114407587691	1.8651016417926505	1.3656872415720411	1.0758079466889572	0.894054626033959	2.2129931196621984	2.686170499216057	0.03705098279303658	1.3651845539950715
study_mean_label_pair	all	Cramer2	He	4265	0.11319705267289903	0.15207077593995197	1.7181919409471071	1.310798207561754	0.9788148796278304	0.7646689716704931	2.088097860442417	2.6988204388144643	-0.04394074472641652	1.310061506914846
study_mean_label_pair	all	Cramer2	Jaffrey	1529	0.01996643933481348	0.05884802093456632	1.9639475138641265	1.401409117233125	1.1125211459662838	0.9523212063015759	2.3003729117160594	2.7114190928142192	-0.3596872827204348	1.3544639428620155
study_mean_label_pair	all	Cramer2	Marks	3274	0.08068638932760944	0.0966453714657554	1.7056793043392986	1.306016578891439	1.0101582480418454	0.8270365830167317	1.9813952438803617	2.5038379262900237	-0.06238670607035638	1.304525662164217
study_mean_label_pair	all	Cramer2	Mortazavi	3844	0.1794445901406718	0.2091587743087789	1.5680125597596353	1.2522030824748975	0.9369704377569626	0.7063841951420304	2.063671573962594	2.517667317772109	-0.07255202044497573	1.2500995016753624
study_mean_label_pair	all	Cramer2	Oberdoerffer	4295	0.13831781177232233	0.13626441298105457	1.7065493473622828	1.306349626770063	0.9546212488595764	0.6954406046721026	2.123022598964743	2.749250468924389	-0.020023937349626895	1.3061961526873747
study_mean_label_pair	all	Cramer2	Rinn	4500	0.22768350243358848	0.2598636802387706	1.42059813128204	1.1918884726693348	0.9013625309741793	0.706860258503105	1.9134918524427367	2.3975792513888794	-0.05593118961731864	1.1905754210926873
study_mean_label_pair	all	Cramer2	Rissland	4477	0.23019340646997022	0.2749192802211297	1.459375955681797	1.2080463383835063	0.8826359868100065	0.6408024011885065	1.9968019170887514	2.5311184797945065	-0.019851879521511594	1.207883213957898
