comparison_type	cohort	left	right	n	pearson	spearman	mse	rmse	mae	median_abs_error	p90_abs_error	p95_abs_error	mean_signed_diff	sd_signed_diff
study_residual_pair	no_gejman_full_preprocess	Akimitsu	Dieterich	10768	0.2577714406324666	0.2500835425771045	0.5824555150160282	0.7631877324852833	0.5720760976755364	0.4485918268754785	1.2142246686607454	1.5551945074723152	-2.375514346894837e-17	0.7631877324852822
study_residual_pair	no_gejman_full_preprocess	Akimitsu	He	10768	0.003752023446648364	0.0028100739512640156	0.769991285951212	0.8774914734350483	0.6428617730955694	0.4888762279474115	1.3556751415139043	1.798293286545953	3.959190578158062e-18	0.8774914734350472
study_residual_pair	no_gejman_full_preprocess	Akimitsu	Jaffrey	10768	-0.2073420498594121	-0.17798653987230775	2.4958809360930077	1.5798357307305744	1.1911919299734404	0.9037250939157547	2.638117123832368	3.2916632337446603	-3.1673524625264494e-17	1.5798357307305724
study_residual_pair	no_gejman_full_preprocess	Akimitsu	Marks	10768	-0.01076674376591363	-0.007107174521396489	0.8250029884425747	0.9082967513112522	0.6911524835402418	0.5450440996507345	1.466229110847358	1.875704117465096	-2.375514346894837e-17	0.9082967513112545
study_residual_pair	no_gejman_full_preprocess	Akimitsu	Mortazavi	10768	0.2036150506067665	0.24701366203812083	0.6819283343889875	0.8257895218449962	0.6098817229284269	0.4589973002394746	1.330591896737435	1.6670197684477228	-2.1115683083509663e-17	0.8257895218449958
study_residual_pair	no_gejman_full_preprocess	Akimitsu	Oberdoerffer	10768	0.5318748326675895	0.534933851010552	0.3941874975490424	0.6278435295111692	0.47070405088347433	0.36539865382406594	0.9944542275061432	1.2594017414199383	-1.5836762312632247e-17	0.627843529511169
study_residual_pair	no_gejman_full_preprocess	Akimitsu	Rinn	10768	-0.2834326373909935	-0.23350928422687506	0.7818103204691653	0.8842003847936085	0.6528048980856757	0.5015956767747152	1.3688796474961762	1.801555356612822	-5.278920770877416e-18	0.8842003847936082
study_residual_pair	no_gejman_full_preprocess	Akimitsu	Rissland	10768	0.13233570908471745	0.14665263737262907	1.0007461153772361	1.0003729881285461	0.7578252376522283	0.597859072352579	1.6016245465438625	1.9961122110614	1.0557841541754831e-17	1.0003729881285464
study_residual_pair	no_gejman_full_preprocess	Akimitsu	Rissland2	10768	-0.11015055157793424	-0.11018910152177809	0.7554016275035345	0.8691384397801851	0.6590579079112022	0.5262511260920938	1.3786045769146076	1.7548119611344442	2.6394603854387078e-17	0.8691384397801828
study_residual_pair	no_gejman_full_preprocess	Akimitsu	Shendure	10768	0.34502946315044136	0.3855251054456927	0.5465122412266792	0.7392646625036795	0.53300697208368	0.39796087276812825	1.128944634098498	1.4956056975543992	1.0557841541754831e-17	0.7392646625036814
