coverage_group	coverage_description	setting	setting_label	random_state	cv_splits	n	n_with_mouse_pc1	n_with_saluki_mouse_prior	pearson	spearman	r2	delta_vs_human_only_pearson	delta_vs_human_only_r2
has_saluki_mouse_prior	Genes with Saluki mouse prior available.	compact_all_plus_both_mouse_priors_global	real_both_priors	42	10	11107	11107	11107	0.8445013182838605	0.8362178736431174	0.7131513680351469	0.09759592128314332	0.1581705115932659
has_saluki_mouse_prior	Genes with Saluki mouse prior available.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	42	10	11107	11107	11107	0.7469273541342398	0.7382717198399096	0.5551013224313683	2.195713352259876e-05	0.00012046598948733944
has_saluki_mouse_prior	Genes with Saluki mouse prior available.	coverage_aware_fallback	coverage_aware_fallback	42	10	11107	11107	11107	0.8445013182838605	0.8362178736431174	0.7131513680351469	0.09759592128314332	0.1581705115932659
missing_saluki_mouse_prior	Genes without Saluki mouse prior.	compact_all_global	human_only	42	10	1809	462	0	0.7531658447706662	0.7488460377426415	0.5670115836570575	0.0	0.0
missing_saluki_mouse_prior	Genes without Saluki mouse prior.	compact_all_plus_both_mouse_priors_global	real_both_priors	42	10	1809	462	0	0.7453975087020961	0.7407607754833939	0.5490408799988816	-0.007768336068570081	-0.01797070365817588
missing_saluki_mouse_prior	Genes without Saluki mouse prior.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	42	10	1809	462	0	0.7552388982505475	0.749629585980364	0.57009338934909	0.0020730534798812927	0.0030818056920325354
missing_saluki_mouse_prior	Genes without Saluki mouse prior.	coverage_aware_fallback	coverage_aware_fallback	42	10	1809	462	0	0.7562845880590162	0.7516747534025954	0.5716220310141017	0.0031187432883500454	0.0046104473570441895
only_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 but no Saluki mouse prior.	compact_all_global	human_only	42	10	462	462	0	0.6817156033724205	0.6714274701278257	0.46247609738550355	0.0	0.0
only_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 but no Saluki mouse prior.	compact_all_plus_both_mouse_priors_global	real_both_priors	42	10	462	462	0	0.7054094034510325	0.6934217237717469	0.48626176606447513	0.023693800078611993	0.023785668678971583
only_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 but no Saluki mouse prior.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	42	10	462	462	0	0.6780179804560493	0.664926996842309	0.4562653587841372	-0.0036976229163712127	-0.006210738601366339
