coverage_group	coverage_description	setting	setting_label	n_random_states	cv_splits	n	n_with_mouse_pc1	n_with_saluki_mouse_prior	pearson_mean	pearson_sd	spearman_mean	spearman_sd	r2_mean	r2_sd	delta_vs_human_only_pearson_mean	delta_vs_human_only_pearson_sd	delta_vs_human_only_r2_mean	delta_vs_human_only_r2_sd
missing_both_mouse_priors	Genes with neither reconstructed mouse PC1 nor Saluki mouse prior available.	compact_all_global	human_only	3	10	1347	0	0	0.7695478724235922	0.0005596118616425098	0.7682142487761258	0.0007545404868770646	0.5914650268398655	0.0007465002194917638	0.0	0.0	0.0	0.0
missing_both_mouse_priors	Genes with neither reconstructed mouse PC1 nor Saluki mouse prior available.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	3	10	1347	0	0	0.7718892054919607	0.0022878426941734978	0.7702576057808422	0.0019489470035790222	0.5950276703613538	0.003421525961501895	0.0023413330683685527	0.0017356059573312773	0.0035626435214884586	0.0026885041161320324
has_both_mouse_priors	Genes with both reconstructed mouse PC1 and Saluki mouse prior available.	compact_all_plus_both_mouse_priors_global	real_both_priors	3	10	11107	11107	11107	0.8433309652951907	0.0010148306555757569	0.834889947893536	0.0011527569842178617	0.7111940714947368	0.001697031025947216	0.09774791687584476	0.0007448525937355685	0.15806871150941107	0.0009861254778438108
has_both_mouse_priors	Genes with both reconstructed mouse PC1 and Saluki mouse prior available.	coverage_aware_fallback	coverage_aware_fallback	3	10	11107	11107	11107	0.8433309652951907	0.0010148306555757569	0.834889947893536	0.0011527569842178617	0.7111940714947368	0.001697031025947216	0.09774791687584476	0.0007448525937355685	0.15806871150941107	0.0009861254778438108
has_both_mouse_priors	Genes with both reconstructed mouse PC1 and Saluki mouse prior available.	compact_all_global	human_only	3	10	11107	11107	11107	0.7455830484193458	0.0013878372744166813	0.7369327915478276	0.0011610772792880271	0.5531253599853257	0.0019271094157295508	0.0	0.0	0.0	0.0
has_both_mouse_priors	Genes with both reconstructed mouse PC1 and Saluki mouse prior available.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	3	10	11107	11107	11107	0.7458059169952165	0.001021424740819531	0.7374426893204623	0.0010023753969445916	0.553504172086486	0.001429412832852267	0.00022286857587057915	0.0004989361721662393	0.0003788121011601235	0.0007378743217366983
missing_at_least_one_mouse_prior	Genes missing one or both mouse prior values.	compact_all_plus_both_mouse_priors_global	real_both_priors	3	10	1809	462	0	0.7464290509846744	0.0008936042401481296	0.7424715091243046	0.0015120111268174157	0.5508344068992951	0.0016071923624402706	-0.006074432724686811	0.0015296148800602902	-0.015139667111019106	0.0024788266227458258
missing_at_least_one_mouse_prior	Genes missing one or both mouse prior values.	coverage_aware_fallback	coverage_aware_fallback	3	10	1809	462	0	0.7565988539868437	0.0007446992448284482	0.7519508877111964	0.0012832779675897607	0.5721374624852403	0.0011678973001895338	0.004095370277482339	0.0008786969517707361	0.006163388474926183	0.0013781389605181792
missing_at_least_one_mouse_prior	Genes missing one or both mouse prior values.	compact_all_global	human_only	3	10	1809	462	0	0.7525034837093614	0.000732131407305165	0.7476121892209449	0.0015906960446507678	0.5659740740103142	0.0011887372560411772	0.0	0.0	0.0	0.0
missing_at_least_one_mouse_prior	Genes missing one or both mouse prior values.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	3	10	1809	462	0	0.7543409511327489	0.0012116626240870705	0.7490312768475077	0.0006826809539812102	0.5687301259361437	0.0018296509953270104	0.0018374674233875288	0.0013990909368199619	0.0027560519258295426	0.002194295678304829
has_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 available.	compact_all_plus_both_mouse_priors_global	real_both_priors	3	10	11569	11569	11107	0.8393621312262257	0.0009052072387180871	0.8308189022467517	0.0010385594978413245	0.704490360981687	0.0014934547980858814	0.09541612448771075	0.0007459657591042078	0.15352098082717688	0.00100972955736749
has_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 available.	coverage_aware_fallback	coverage_aware_fallback	3	10	11569	11569	11107	0.8393621312262257	0.0009052072387180871	0.8308189022467517	0.0010385594978413245	0.704490360981687	0.0014934547980858814	0.09541612448771075	0.0007459657591042078	0.15352098082717688	0.00100972955736749
has_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 available.	compact_all_global	human_only	3	10	11569	11569	11107	0.743946006738515	0.0013196749350852237	0.7349241474387597	0.0010885555436678576	0.5509693801545102	0.001824373356310912	0.0	0.0	0.0	0.0
has_reconstructed_mouse_pc1	Genes with reconstructed mouse PC1 available.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	3	10	11569	11569	11107	0.7441421881058958	0.0009021770875419964	0.7353961236867863	0.0008050312763591537	0.5513148631477697	0.0012686809378555323	0.00019618136738082845	0.0004963533652567437	0.0003454829932594272	0.0007187855543123572
missing_reconstructed_mouse_pc1	Genes without reconstructed mouse PC1.	compact_all_plus_both_mouse_priors_global	real_both_priors	3	10	1347	0	0	0.7554976258231791	0.0012847910001818025	0.7536593577236931	0.0012581721649697571	0.5650364614597989	0.0015746500905566528	-0.014050246600413133	0.0011017494927985482	-0.026428565380066476	0.0016027737047615408
missing_reconstructed_mouse_pc1	Genes without reconstructed mouse PC1.	coverage_aware_fallback	coverage_aware_fallback	3	10	1347	0	0	0.7695478724235922	0.0005596118616425098	0.7682142487761258	0.0007545404868770646	0.5914650268398655	0.0007465002194917638	0.0	0.0	0.0	0.0
missing_reconstructed_mouse_pc1	Genes without reconstructed mouse PC1.	compact_all_global	human_only	3	10	1347	0	0	0.7695478724235922	0.0005596118616425098	0.7682142487761258	0.0007545404868770646	0.5914650268398655	0.0007465002194917638	0.0	0.0	0.0	0.0
missing_reconstructed_mouse_pc1	Genes without reconstructed mouse PC1.	compact_all_plus_both_mouse_priors_shuffled_global	shuffled_both_priors	3	10	1347	0	0	0.7718892054919607	0.0022878426941734978	0.7702576057808422	0.0019489470035790222	0.5950276703613538	0.003421525961501895	0.0023413330683685527	0.0017356059573312773	0.0035626435214884586	0.0026885041161320324
